,id,Agent Name,Leader 1,Leader Name,Month Start Date,Location,Calls Answered,Calls Not Answered,Not Answered Rate,Met Not Answered Rate,Not Answered Percent < 5,Calls Offered,Total Duration,Agent Avg Duration,Transfers,Sentiment,Sentiment Score >= 0,Met Sentiment Goal
0,4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-01-01,Margaree,443.0,2.0,0.0044943820224719105,True,5,445.0,7565.0,17.076749435665914,,-53.0,0,False
1,4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-02-01,Margaree,590.0,16.0,0.026402640264026403,True,5,606.0,4848.0,8.216949152542373,,97.0,0,True
2,4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-03-01,Margaree,338.0,75.0,0.18159806295399517,False,5,413.0,2478.0,7.331360946745562,,23.0,0,True
3,4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-04-01,Margaree,748.0,12.0,0.015789473684210527,True,5,760.0,6080.0,8.128342245989305,,21.0,0,True
4,4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-05-01,Margaree,464.0,22.0,0.04526748971193416,True,5,486.0,1458.0,3.1422413793103448,23.0,-33.0,0,False
5,4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-06-01,Margaree,590.0,2.0,0.0033783783783783786,True,5,592.0,2368.0,4.013559322033898,9.0,95.0,0,True
6,4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-07-01,Margaree,425.0,29.0,0.06387665198237885,False,5,454.0,4540.0,10.68235294117647,23.0,63.0,0,True
7,4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-08-01,Margaree,696.0,24.0,0.03333333333333333,True,5,720.0,7920.0,11.379310344827585,3.0,-27.0,0,False
8,4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-09-01,Margaree,407.0,52.0,0.11328976034858387,False,5,459.0,8262.0,20.2997542997543,19.0,-87.0,0,False
9,4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-10-01,Margaree,826.0,43.0,0.04948216340621404,True,5,869.0,17380.0,21.041162227602907,27.0,58.0,0,True
10,4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-11-01,Margaree,421.0,75.0,0.15120967741935484,False,5,496.0,10416.0,24.741092636579573,21.0,47.0,0,True
11,4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-12-01,Margaree,796.0,53.0,0.0624263839811543,False,5,849.0,15282.0,19.198492462311556,23.0,80.0,0,True
12,8,"Tandi, Jobbings",3,"Yorke, Befroy",2021-01-01,Margaree,363.0,22.0,0.05714285714285714,False,5,385.0,6160.0,16.96969696969697,,-27.0,0,False
13,8,"Tandi, Jobbings",3,"Yorke, Befroy",2021-02-01,Margaree,913.0,56.0,0.05779153766769866,False,5,969.0,17442.0,19.10405257393209,,98.0,0,True
14,8,"Tandi, Jobbings",3,"Yorke, Befroy",2021-03-01,Margaree,955.0,27.0,0.0274949083503055,True,5,982.0,17676.0,18.50890052356021,,-51.0,0,False
15,8,"Tandi, Jobbings",3,"Yorke, Befroy",2021-04-01,Margaree,697.0,65.0,0.08530183727034121,False,5,762.0,15240.0,21.865136298421806,,-1.0,0,False
